set,filename,theme,short_caption,caption
2,alexander-krivitskiy-GfOpUKdkMvo-unsplash.jpg,lace,Lace makes looking trespass.,"The eye remains visible through the lace, making the act of looking feel intimate and forbidden."
2,alex-bracken-l1SJO7TMVEc-unsplash.jpg,lace,The face becomes fabric.,The veil softens the mouth and fractures the gaze into texture.
2,allef-vinicius-DKrNTF_Jgtw-unsplash.jpg,nature,The gaze hides in green.,"Leaves interrupt the portrait gently, as if nature itself has chosen what may be seen."
2,amir-geshani-2JH8d3ChNec-unsplash.jpg,agency,She edits the view.,"She holds the obstruction herself, turning concealment into control."
2,baran-lotfollahi-LOBgOf8Rurg-unsplash.jpg,quiet,Sight folds into silence.,The closed eye turns the image inward; the fabric makes silence feel physical.
2,brunxs-monochrome-sPnIqdCPI9U-unsplash.jpg,shadow,One eye survives the dark.,The shadows do not cover her completely; they divide the gaze into risk and revelation.
3,caleb-kastein-lmNz6-ICIM8-unsplash.jpg,shadow,One eye holds the room.,"The eye survives the dark, but the rest of the face slips out of reach."
3,carl-cheng-o4L-veTcXHY-unsplash.jpg,repair,Vision becomes patched evidence.,"The covered lenses turn sight into repair, damage, and evidence."
3,cole-keister-D6zQt8NfIq4-unsplash.jpg,aperture,The gaze cuts through gold.,"The foil frames the gaze like something precious, trapped, and half-protected."
3,darius-bashar-3XEgKKBinCk-unsplash.jpg,motion,Identity slips; the eye remains.,"The face moves faster than recognition, leaving the eye as the only anchor."
3,elias-maurer-sSpLu7IPC8g-unsplash.jpg,archive,The archive looks back.,"Text covers the face, but the eye reads back through the surface."
3,erik-mclean-gjtz5cKGEEw-unsplash.jpg,shadow,The eye becomes evidence.,The darkness does not hide the gaze; it sharpens its accusation.
3,flaviu-costin-Vr-sBbCWklc-unsplash.jpg,wrapped,"One opening, one witness.","The cloth protects and confines at once, leaving one eye to carry the whole portrait."
3,good-faces-R8VSYtyY2oE-unsplash.jpg,motion,Recognition loses focus.,"The face dissolves into motion, as if memory cannot hold it still."
3,houcine-ncib-J3fKbg3mkJs-unsplash.jpg,blue,Sight floats under blue.,"The veil makes the face feel submerged, turning concealment into atmosphere."
3,jr-korpa-0lOkeLbdsBw-unsplash.jpg,double,Doubling does not reveal.,"The face appears twice, but neither version offers certainty."
3,lorraine-hill-4dyXkga2GxA-unsplash.jpg,aperture,A small hole becomes a gaze.,"The eye peers through a torn aperture, caught between protection and surveillance."
3,mahdi-bafande-rw-AZxeky7Q-unsplash.jpg,light,Light becomes incision.,Light cuts across the eye like a wound; the rest of the face falls silent.
3,Mysterious Woman with Blood Tears and Lace Blindfold Against a Crimson Background.jpeg,red,Refusal bleeds red.,The blindfold turns the face into ritual; the red beneath it makes silence feel dangerous.
3,nastia-petruk-F-HAjYv3WyE-unsplash.jpg,nature,Nature edits the face.,"The leaves interrupt the portrait softly, but the gaze remains direct and unhidden."
3,noah-buscher-11lDEHFy_hA-unsplash.jpg,play,Candy becomes a mask.,Play becomes obstruction; sweetness performs the work of concealment.
3,ovie-ogege-6bwT4cI_UJs-unsplash.jpg,style,Coolness becomes cover.,"The glasses split the face into surface and shadow, making style feel like defense."
3,umanoide-XJP9Ak1oqHw-unsplash.jpg,false-eye,The mask learns to look.,"False eyes replace the real ones, turning the portrait into a performance of seeing."
3,"Woman obscured by white flowers, creating a dreamy and surreal portrait against a dark green background.jpeg",flowers,Softness blocks the gaze.,"The flowers are gentle, but their placement is absolute: beauty refuses access."
