label,repo_file,title,visual_group,intended_pages_or_section,creator_or_institution,rights_license_status,sequence
A37,images/labeled/a37-social-constraint-elias-maurer-ssplu7ipc8g-unsplash.jpg,elias-maurer-sSpLu7IPC8g-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Elias Maurer Ssplu7Ipc8G / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,37
A38,images/labeled/a38-mediation-elvis-kaiser-rqbk5ez6qa0-unsplash.jpg,elvis-kaiser-Rqbk5ez6Qa0-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Elvis Kaiser Rqbk5Ez6Qa0 / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,38
A39,images/labeled/a39-raw-agency-enesh-taganova-ioxgidqvqyq-unsplash-1.jpg,enesh-taganova-IoXGIDqVqYQ-unsplash (1),Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Enesh Taganova Ioxgidqvqyq / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,39
A40,images/labeled/a40-social-constraint-erik-mclean-gjtz5ckgeew-unsplash.jpg,erik-mclean-gjtz5cKGEEw-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Erik Mclean Gjtz5Ckgeew / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,40
A41,images/labeled/a41-mediation-europeana-lbt8newonko-unsplash.jpg,europeana-lBt8NEWOnko-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Europeana Lbt8Newonko / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,41
A42,images/labeled/a42-raw-agency-europeana-wwghncxmcqi-unsplash.jpg,europeana-wwgHncxMcQI-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Europeana Wwghncxmcqi / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,42
A43,images/labeled/a43-social-constraint-evilicio-inc-1hty8zlswls-unsplash.jpg,evilicio-inc-1HTY8zLsWLs-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Evilicio Inc 1Hty8Zlswls / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,43
A44,images/labeled/a44-mediation-flaviu-costin-vr-sbbcwklc-unsplash.jpg,flaviu-costin-Vr-sBbCWklc-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Flaviu Costin Vr Sbbcwklc / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,44
A45,images/labeled/a45-raw-agency-good-faces-r8vsytyy2oe-unsplash.jpg,good-faces-R8VSYtyY2oE-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Good Faces R8Vsytyy2Oe / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,45
A46,images/labeled/a46-social-constraint-harry-quan-g1iycecw2ei-unsplash.jpg,harry-quan-G1iYCeCW2EI-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Harry Quan G1Iycecw2Ei / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,46
A47,images/labeled/a47-mediation-igor-rand-giw9ccl3hxa-unsplash.jpg,igor-rand-GIW9CCL3HxA-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Igor Rand Giw9Ccl3Hxa / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,47
A48,images/labeled/a48-raw-agency-ilya-mondryk-oceeo0ayn1s-unsplash.jpg,ilya-mondryk-OCEeo0aYN1s-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Ilya Mondryk Oceeo0Ayn1S / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,48
A49,images/labeled/a49-social-constraint-janko-ferlic-brzt6bdt6na-unsplash.jpg,janko-ferlic-brZT6bdt6NA-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Janko Ferlic Brzt6Bdt6Na / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,49
A50,images/labeled/a50-mediation-jr-korpa-0lokelbdsbw-unsplash.jpg,jr-korpa-0lOkeLbdsBw-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Jr Korpa 0Lokelbdsbw / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,50
A51,images/labeled/a51-raw-agency-library-of-congress-v0jinhbf3xq-unsplash.jpg,library-of-congress-v0jInHBf3XQ-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Library Of Congress V0Jinhbf3Xq / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,51
A52,images/labeled/a52-social-constraint-lorraine-hill-4dyxkga2gxa-unsplash.jpg,lorraine-hill-4dyXkga2GxA-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Lorraine Hill 4Dyxkga2Gxa / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,52
A53,images/labeled/a53-mediation-mahdi-bafande-rw-azxeky7q-unsplash.jpg,mahdi-bafande-rw-AZxeky7Q-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Mahdi Bafande Rw Azxeky7Q / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,53
A54,images/labeled/a54-raw-agency-nastia-petruk-f-hajyv3wye-unsplash.jpg,nastia-petruk-F-HAjYv3WyE-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Nastia Petruk F Hajyv3Wye / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,54
A55,images/labeled/a55-social-constraint-nina-zeynep-guler-fjjivsx-bxm-unsplash.jpg,nina-zeynep-guler-fjJiVSX-BxM-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Nina Zeynep Guler Fjjivsx Bxm / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,55
A56,images/labeled/a56-mediation-noah-buscher-11ldehfy-ha-unsplash.jpg,noah-buscher-11lDEHFy_hA-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Noah Buscher 11Ldehfy_Ha / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,56
A57,images/labeled/a57-raw-agency-ovie-ogege-6bwt4ci-ujs-unsplash.jpg,ovie-ogege-6bwT4cI_UJs-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Ovie Ogege 6Bwt4Ci_Ujs / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,57
A58,images/labeled/a58-social-constraint-see-plus-np3s9byoqac-unsplash.jpg,see-plus-NP3s9BYOqAc-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",See Plus Np3S9Byoqac / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,58
A59,images/labeled/a59-mediation-smithsonian-elpq3w9epnk-unsplash.jpg,smithsonian-ELPq3W9Epnk-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Smithsonian Elpq3W9Epnk / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,59
A60,images/labeled/a60-raw-agency-smithsonian-otg-zz0tybe-unsplash.jpg,smithsonian-OtG-Zz0tYbE-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Smithsonian Otg Zz0Tybe / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,60
A61,images/labeled/a61-social-constraint-teslariu-mihai-tk-szddiuis-unsplash.jpg,teslariu-mihai-tK-SzdDiUIs-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Teslariu Mihai Tk Szddiuis / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,61
A62,images/labeled/a62-mediation-the-new-york-public-library-ndjv4ntdf6g-unsplash.jpg,the-new-york-public-library-ndJV4ntdF6g-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",The New York Public Library Ndjv4Ntdf6G / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,62
A63,images/labeled/a63-raw-agency-toa-heftiba-fv1lunshcaw-unsplash.jpg,toa-heftiba-FV1LuNSHcAw-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Toa Heftiba Fv1Lunshcaw / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,63
A64,images/labeled/a64-social-constraint-umanoide-xjp9ak1oqhw-unsplash.jpg,umanoide-XJP9Ak1oqHw-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Umanoide Xjp9Ak1Oqhw / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,64
A65,images/labeled/a65-mediation-umesh-soni-hpklbuuel-k-unsplash.jpg,umesh-soni-hpklBuuel_k-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Umesh Soni Hpklbuuel_K / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,65
A66,images/labeled/a66-mediation-woman-obscured-by-white-flowers-creating-a-dreamy-and-surreal-portrait-a.jpg,"Woman obscured by white flowers, creating a dreamy and surreal portrait against a dark green background",Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Creator not verified,"Local/generated/unknown source; verify creator, source, and usage rights before final export.",66
A67,images/labeled/a67-social-constraint-zachary-kadolph-qbjgfnctwbu-unsplash.jpg,zachary-kadolph-qBJgfnCTwbU-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Zachary Kadolph Qbjgfnctwbu / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,67
